City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
361,poronaysk,20,RU,1535410230,98,49.22,143.1,58.98,3.58
362,sobolevo,92,RU,1535410230,99,54.43,31.9,60.06,5.93
363,alice springs,0,AU,1535409000,26,-23.7,133.88,48.2,9.28
364,hofn,92,IS,1535410230,100,64.25,-15.21,46.29,28.74
365,miajadas,0,ES,1535410231,51,39.15,-5.91,75.63,6.15
366,sanmenxia,0,CN,1535410231,66,34.77,111.19,75.45,3.58
367,nioro,80,GM,1535410231,93,13.79,-15.05,76.53,7.94
368,general roca,0,AR,1535407200,22,-39.03,-67.58,69.8,10.29
369,vila franca do campo,75,PT,1535407200,88,37.72,-25.43,71.6,2.24
370,marquard,0,ZA,1535410232,49,-28.66,27.43,25.77,4.36
371,hervey bay,20,AU,1535410232,91,-25.3,152.85,66.72,8.16
372,lavrentiya,0,RU,1535410232,86,65.58,-170.99,49.17,11.97
373,nhamunda,20,BR,1535410232,69,-2.19,-56.71,81.66,4.03
374,puerto baquerizo moreno,75,EC,1535407200,83,-0.9,-89.6,73.4,16.11
375,marabba,12,SD,1535410233,72,12.35,32.18,77.97,11.18
376,acapulco,75,MX,1535406540,74,16.86,-99.88,86.0,6.93
377,castro,56,CL,1535410208,92,-42.48,-73.76,46.74,7.72
378,bonthe,92,SL,1535410233,100,7.53,-12.5,75.36,4.59
379,umm kaddadah,24,SD,1535410234,61,13.6,26.69,76.17,8.84
380,ust-nera,0,RU,1535410234,58,64.57,143.24,51.69,2.57
381,guangshui,0,CN,1535410234,78,31.62,113.82,79.86,4.81
382,zaysan,12,KZ,1535410234,88,47.47,84.87,48.63,3.47
383,the valley,40,AI,1535407200,69,18.22,-63.06,82.4,14.99
